code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutrition_grade_fr	nova_group	pnns_groups_1	pnns_groups_2	states	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
3560070335879	https://fr.openfoodfacts.org/produit/3560070335879	openfoodfacts-contributors	1537005852	1550176483	Chocolat	Glace au chocolat (31%) et glace au chocolat noir (31%), gaufrette (16%), chemisage au cacao maigre (9%), crayon de sauce au chocolat (8.5%), décor au cacao maigre (3%) et noisettes sucrées (1.5%).	408 g - 720 ml			Carrefour	carrefour	Cônes, en:chocolates	en:snacks,en:sweet-snacks,en:desserts,en:frozen-foods,en:frozen-desserts,en:chocolates,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-cones							EMB 61006C	emb-61006c		argentan-orne-france		Carrefour	France	Eau, lait écrémé réhydraté, sucre, graisse végétale de coprah, sirop de glucose-fructose, farine de blé, chocolat en poudre 4.65% (sucre, cacao en poudre), cacao maigre en poudre 3.2%, lactose et protéines de lait, cacao en poudre 1.1%,  pâte de cacao, émulsifiants: lécithines de soja et mono - et diglycérides d'acides gras, amidon modifié, noisettes 0.15%, lait écrémé en poudre, stabilisants : farine de graines de caroube - gomme guar - carraghénanes, sel, arôme naturel de vanille.  Peut contenir des traces d'autres fruits à coque.		en:gluten,en:milk,en:nuts		en:nuts				5	en:e14xx,en:e322,en:e407,en:e410,en:e412	0			1		huile-vegetale	d	4	Milk and dairy products	Ice cream	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:ice-cream-cones	https://static.openfoodfacts.org/images/products/356/007/033/5879/front_fr.17.400.jpg	https://static.openfoodfacts.org/images/products/356/007/033/5879/front_fr.17.200.jpg	https://static.openfoodfacts.org/images/products/356/007/033/5879/front_fr.17.400.jpg	https://static.openfoodfacts.org/images/products/356/007/033/5879/front_fr.17.200.jpg	https://static.openfoodfacts.org/images/products/356/007/033/5879/ingredients_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/356/007/033/5879/ingredients_fr.8.200.jpg			1266		14	12																																			40	29									2.2	3.7				0.17	0.0669291338582677																																												17	17							
3396410047573	https://fr.openfoodfacts.org/produit/3396410047573	kiliweb	1493500583	1550136027	Chocolat Noir équateur 90%		80 g	tablette	tablette	Bonneterre	bonneterre	Snacks, Snacks sucrés, Chocolats, Chocolats noirs	en:snacks,en:sweet-snacks,en:chocolates,en:dark-chocolates	Équateur	equateur	Suisse	suisse	Bio  	en:organic					France	Éléments Terre	France	Pâte de cacao (Équateur), beurre de cacao, sucre de canne, vanille moulue. Cacao : 90% minimum dans le chocolat. Ingrédients issus de l'agriculture biologique. Distribution certifiée par FR-BIO-01. 100% des ingrédients sont issus du commerce équitable.			en:milk,en:nuts	en:milk,en:nuts				0		0			0			d	3	Sugary snacks	Chocolate products	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:dark-chocolates	https://static.openfoodfacts.org/images/products/339/641/004/7573/front_fr.15.400.jpg	https://static.openfoodfacts.org/images/products/339/641/004/7573/front_fr.15.200.jpg	https://static.openfoodfacts.org/images/products/339/641/004/7573/front_fr.15.400.jpg	https://static.openfoodfacts.org/images/products/339/641/004/7573/front_fr.15.200.jpg	https://static.openfoodfacts.org/images/products/339/641/004/7573/ingredients_fr.22.400.jpg	https://static.openfoodfacts.org/images/products/339/641/004/7573/ingredients_fr.22.200.jpg	https://static.openfoodfacts.org/images/products/339/641/004/7573/nutrition_fr.20.400.jpg	https://static.openfoodfacts.org/images/products/339/641/004/7573/nutrition_fr.20.200.jpg	2602		54	33																																			16	9										11				0.02	0.0078740157480315																																								90				18	18							
7622210200402	https://fr.openfoodfacts.org/produit/7622210200402	openfoodfacts-contributors	1475578875	1550084191	Caramel et noisette		300 g	tablette	tablette	Milka	milka	Snacks, Snacks sucrés, Chocolats	en:snacks,en:sweet-snacks,en:chocolates													France	Sucre, graisse de palme, beurre de cacao, noisettes, lait écrémé en poudre, lactosérum en poudre (de lait), pâte de cacao, sirop de glucose, beurre concentré, lait écrémé concentré sucré, humectant (glycérol), émulsifiants (lécithine de soja, lécithine de tournesol), sirop de sucre inverti, sirop de sucre caramelisé (0,4 0%), arômes, sel. 7,5 % lait écrémé en poudre dans le fourrage crème confiseur au lait. Peut contenir blé et autres fruits à coque.		en:milk,en:nuts,en:soybeans	fr:blé fruits a coque	en:gluten,en:nuts,fr:ble-fruits-a-coque	33.3g	33.3		2	en:e322,en:e322i,en:e422	1		huile-de-palme	0			d	4	Sugary snacks	Chocolate products	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:chocolates	https://static.openfoodfacts.org/images/products/762/221/020/0402/front_fr.13.400.jpg	https://static.openfoodfacts.org/images/products/762/221/020/0402/front_fr.13.200.jpg	https://static.openfoodfacts.org/images/products/762/221/020/0402/front_fr.13.400.jpg	https://static.openfoodfacts.org/images/products/762/221/020/0402/front_fr.13.200.jpg	https://static.openfoodfacts.org/images/products/762/221/020/0402/ingredients_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/762/221/020/0402/ingredients_fr.11.200.jpg	https://static.openfoodfacts.org/images/products/762/221/020/0402/nutrition_fr.17.400.jpg	https://static.openfoodfacts.org/images/products/762/221/020/0402/nutrition_fr.17.200.jpg	770		12	5.8																																			17	17									0.6	2				0.39	0.153543307086614																																												11	11							
4104420054868	https://fr.openfoodfacts.org/produit/4104420054868	openfoodfacts-contributors	1479932316	1550068239	Sélection Espresso		100g	21 PAP,84 C/PAP	21-pap,84-c-pap	Alnatura	alnatura	Chocolats noirs,Chocolats au café,Chocolats noirs au café	en:snacks,en:sweet-snacks,en:chocolates,en:dark-chocolates,fr:chocolats-au-cafe,fr:chocolats-noirs-au-cafe					Bio,Bio européen,de:Bio 7 Initiative,de:EG-Öko-Verordnung,DE-ÖKO-013	en:organic,en:eu-organic,de:bio-7-initiative,de:eg-oko-verordnung,en:de-oko-013							France,Suisse	Pâte de cacao*, sucre de canne brut*, beurre de cacao*, poudre de crème* 8.5 %, lait écrémé en poudre*, petits morceaux de grains de café* 3 %, extrait de vanille Bourbon*  * de l'agriculture biologique  Cacao: au moins 58 %, Composants lactés: 13 %  Peut contenir des traces de gluten, amande, noisette et pistache.			en:gluten,en:nuts	en:gluten,en:nuts	100 g	100		0		0			0			d	4	Sugary snacks	Chocolate products	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	fr:chocolats-noirs-au-cafe	https://static.openfoodfacts.org/images/products/410/442/005/4868/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/410/442/005/4868/front_fr.3.200.jpg	https://static.openfoodfacts.org/images/products/410/442/005/4868/front_fr.3.400.jpg	https://static.openfoodfacts.org/images/products/410/442/005/4868/front_fr.3.200.jpg	https://static.openfoodfacts.org/images/products/410/442/005/4868/ingredients_fr.21.400.jpg	https://static.openfoodfacts.org/images/products/410/442/005/4868/ingredients_fr.21.200.jpg	https://static.openfoodfacts.org/images/products/410/442/005/4868/nutrition_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/410/442/005/4868/nutrition_fr.11.200.jpg	2409		44.9	28																																			31.9	27.8									8.4	8.1				0.12	0.047244094488189																																								58				18	18							
4104420139787	https://fr.openfoodfacts.org/produit/4104420139787	openfood-ch-import	1486505795	1550068178	Cacao noir		50 g			Alnatura	alnatura	Snacks,Snacks sucrés,Chocolats,Chocolats noirs	en:snacks,en:sweet-snacks,en:chocolates,en:dark-chocolates					Bio,Bio européen,DE-ÖKO-013	en:organic,en:eu-organic,en:de-oko-013							France,Suisse	Masse de cacao *, beurre de cacao *, sucre de canne brut *  * de l'agriculture biologique  Cacao: 80% au moins  Peut contenir des traces de gluten, lait, amandes, noisettes et pistaches.			en:milk,en:nuts	en:milk,en:nuts				0		0			0			d	3	Sugary snacks	Chocolate products	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:dark-chocolates	https://static.openfoodfacts.org/images/products/410/442/013/9787/front_fr.19.400.jpg	https://static.openfoodfacts.org/images/products/410/442/013/9787/front_fr.19.200.jpg	https://static.openfoodfacts.org/images/products/410/442/013/9787/front_fr.19.400.jpg	https://static.openfoodfacts.org/images/products/410/442/013/9787/front_fr.19.200.jpg	https://static.openfoodfacts.org/images/products/410/442/013/9787/ingredients_fr.15.400.jpg	https://static.openfoodfacts.org/images/products/410/442/013/9787/ingredients_fr.15.200.jpg			2571		52.6	33.1																																			23.8	18									11.8	7.4				0.02	0.0078740157480315																																								80				15	15							
4104420132382	https://fr.openfoodfacts.org/produit/4104420132382	openfood-ch-import	1486505798	1550068036	Chocolat 64% Cacao		150 g			Alnatura	alnatura	Chocolats noirs	en:snacks,en:sweet-snacks,en:chocolates,en:dark-chocolates					Bio,Bio européen,DE-ÖKO-013	en:organic,en:eu-organic,en:de-oko-013							France,Suisse	Masse de cacao, sucre brut, beurre de cacao, graisse de beurre, extrait de vanille de bourbon.								0		0			0			d	3	Sugary snacks	Chocolate products	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:dark-chocolates	https://static.openfoodfacts.org/images/products/410/442/013/2382/front_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/410/442/013/2382/front_fr.11.200.jpg	https://static.openfoodfacts.org/images/products/410/442/013/2382/front_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/410/442/013/2382/front_fr.11.200.jpg	https://static.openfoodfacts.org/images/products/410/442/013/2382/ingredients_fr.14.400.jpg	https://static.openfoodfacts.org/images/products/410/442/013/2382/ingredients_fr.14.200.jpg			2303		38.9	24.5																																			38.5	33									11.3	7				0.02	0.0078740157480315																																								64				18	18							
4024297016854	https://fr.openfoodfacts.org/produit/4024297016854	openfoodfacts-contributors	1545771325	1550067719	latein-amerikz		80g			Naturata	naturata	Chocolats noirs	en:snacks,en:sweet-snacks,en:chocolates,en:dark-chocolates					Bio,Bio européen,CH-BIO-006,DE-ÖKO-007	en:organic,en:eu-organic,en:ch-bio-006,en:de-oko-007							France,Allemagne	Bio Kakaoprodukt 100% Zutaten: Kakaomasse, Kakaobutter, Bourbon Vanille gemahlen. aus kontrolliert biologischem Anbau. Frei von Sojalecithin. Kakao und Vanille: nach Fairtrade-Standards gehandelt. Gesamtanteil: 100 %. Kakao mit Mengenausgleich. www.info.fairtrade.net. Trocken, geruchsfrei und vor Wärme geschützt lagern (16-18 °C). Kann Spuren von Milch, Haselnüssen und Mandeln enthalten.     Produit cacao biologique 100% Ingrédients: Pâte de cacao, beurre de cacao', vanille Bourbon moulue. &quot;issu de l'agriculture biologique contrôlée. Sans de lécithine de soja. Ingrédients conformes aux standards du commerce équitable Fairtrade/Max Havelaar: Cacao, vanille (100 % du poids total) www.info.fairtrade.net. Conserver à un endroit sec, inodore et l'abri de la chaleur (16-18 °C) Peut contenir des traces de lait, noisettes et amandes     Okologisk kakaoprodukt 100% DK Ingredienser: Kakaomasse, kakaosmor, malet bourbon vanilje. 'fra kontrolleret okologisk dyrkning. Uden sojalecitin. Kakao, vanilje: handlet i overensstemmelse med Fairtrade standarder.I alt 100 %. www.info.fairtrade.net.Opbevares tort, et lugtfrit sted og beskyttes mod varme (16-18 °C). Kan indeholde rester fra maælk, hasselnodder og mandler Organic cocoa product 100% GIngredients: Cocoa mass', cocoa butter&quot;, ground bourbon vanilla&quot;. 'certified organic. Without soya lecithin. Cocoa and vanilla: traded in compliance with Fairtrade Standards, total 100 %. Visit www.info.fairtrade.net.Store in a dry, odour-free and cool place (16-18 °C). May contain traces of milk, hazelnuts and almonds     Producto de cacao 100% biológico Ingredientes: Pasta de cacao, manteca de cacao&quot;, bourbon vainilla molida. 'de cultivo biológico controlado. No contiene lecitina de soja. Cacao, vainilla: Cumplen con los estándares Fairtrade (Comercio Justo), 100 % del total. Ver www.info.fairtrade.net. Conservar en un lugar seco, inodoro y protegido del calor (16-18 °C). Puede contener trazas de leche, avellanas y almendras Prodotto di cacao biologico 100% Ingredienti: Massa di cacao, burro di cacao, vaniglia Bourbon macinata. 'da coltivazioni biologiche controllate. Senza lecitina di soia. Cacao e vaniglia: conformi agli standard Fairtrade. Totale: 100 %. Per informazioni: www.info.fairtrade.net. Conservare in luogo fresco e asciutto, privo di odori (16-18 °C). Può contenere tracce di latte, nocciole e mandorle				en:milk,en:nuts				0		0			0			d	3	Sugary snacks	Chocolate products	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:dark-chocolates	https://static.openfoodfacts.org/images/products/402/429/701/6854/front_fr.13.400.jpg	https://static.openfoodfacts.org/images/products/402/429/701/6854/front_fr.13.200.jpg	https://static.openfoodfacts.org/images/products/402/429/701/6854/front_fr.13.400.jpg	https://static.openfoodfacts.org/images/products/402/429/701/6854/front_fr.13.200.jpg	https://static.openfoodfacts.org/images/products/402/429/701/6854/ingredients_fr.15.400.jpg	https://static.openfoodfacts.org/images/products/402/429/701/6854/ingredients_fr.15.200.jpg			2653		58	36																																			8	0.6										12				0.02	0.0078740157480315																																								100				17	17							
5425008340166	https://fr.openfoodfacts.org/produit/5425008340166	miles67off	1383351260	1550066820	Chocolat Orange amère NewTree	Chocolat au lait à l'arôme naturel d'Orange et au Quinoa Bio	80 g	carton	carton	NewTree	newtree	Snacks, Desserts, Snacks sucrés, Chocolats, Chocolats au lait	en:snacks,en:sweet-snacks,en:desserts,en:chocolates,en:milk-chocolates	made in Belgium,agriculture UE / non UE	made-in-belgium,agriculture-ue-non-ue			Fair trade, Organic, EU Organic, FSC, Carbon compensated product, Fairtrade International    , BE-BIO-01	en:fair-trade,en:organic,en:eu-organic,en:fsc,en:be-bio-01,en:carbon-compensated-product,en:fairtrade-international					France	Carrefour	France	pur beurre de cacao*, sucre de canne*, fibres d'agave (inuline)*, poudre de lait écrémé*, pâte de cacao*, quinoa* (5%), extrait de fleurs de tilleul*, arôme naturel d'orange amère, émulsifiant : lécithine de soja, arôme naturel de vanille. Cacao : minimum 50%.			Gluten,Fruits à coque	en:gluten,en:nuts	20 g	20		1	en:e322,en:e322i	0			0			d	4	Sugary snacks	Chocolate products	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:milk-chocolates	https://static.openfoodfacts.org/images/products/542/500/834/0166/front_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0166/front_fr.8.200.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0166/front_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0166/front_fr.8.200.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0166/ingredients_fr.10.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0166/ingredients_fr.10.200.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0166/nutrition_fr.12.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0166/nutrition_fr.12.200.jpg	2143		34.3	21.3																																			37.2	31.2									17.5	7.3				0.14986	0.059																							0.003	0.043																50				18	18							
5425008345123	https://fr.openfoodfacts.org/produit/5425008345123	thegardener	1389869431	1550066819	Amande 	Tablette de chocolat Belge au lait et aux amandes	80 g	Carton	carton	NewTree	newtree	Snacks, Snacks sucrés, Chocolats, Chocolats au lait	en:snacks,en:sweet-snacks,en:chocolates,en:milk-chocolates	Amérique Latine	amerique-latine			Fair trade, No GMOs, Fairtrade International  , BE-BIO-01	en:fair-trade,en:organic,en:eu-organic,en:no-gmos,en:be-bio-01,en:fairtrade-international					Bruxelles,Paris,Lyon	Carrefour,Delhayze,Cora,Match,Cameleon	Belgique, France	Pure beurre de cacao, sucre de canne, fibres d'agave (inuline), lait écrémé en poudre, amandes grillées caramélisées, graines de lin, émulsifiants : lécithine de soja sans OGM, arôme de vanille.			Gluten,Fruits à coque	en:gluten,en:nuts	40 g	40		1	en:e322,en:e322i	0			0			d	4	Sugary snacks	Chocolate products	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:milk-chocolates	https://static.openfoodfacts.org/images/products/542/500/834/5123/front_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/5123/front_fr.7.200.jpg	https://static.openfoodfacts.org/images/products/542/500/834/5123/front_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/5123/front_fr.7.200.jpg			https://static.openfoodfacts.org/images/products/542/500/834/5123/nutrition_fr.11.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/5123/nutrition_fr.11.200.jpg	2030		37.5	20																																			32.5	27.5									20	10				0.133	0.0525																							0.0025	0.0375																50				17	17							
5425008340913	https://fr.openfoodfacts.org/produit/5425008340913	miles67off	1383351513	1550066818	Chocolat Gingembre NewTree	Chocolat noir à l'arôme naturel de Gingembre	80 g	carton	carton	NewTree	newtree	Snacks, Desserts, Snacks sucrés, Chocolats, Chocolats noirs	en:snacks,en:sweet-snacks,en:desserts,en:chocolates,en:dark-chocolates	made in Belgium,commerce équitable	made-in-belgium,commerce-equitable			Fair trade, FSC, Carbon compensated product, Fairtrade International, fr:Certifié Certisys BE-BIO-01       , BE-BIO-01	en:fair-trade,en:organic,en:eu-organic,en:fsc,en:be-bio-01,en:carbon-compensated-product,en:fairtrade-international,fr:certifie-certisys-be-bio-01					France	Carrefour	France	pâte de cacao*, sucre de canne*, fibres d'agave (inuline)*, pur beurre de cacao*, pépites au gingembre (6% contenant 5% de gingembre), extrait de guarana, arôme naturel de gingembre, émulsifiant : lécithine de soja, arôme naturel de vanille. Cacao : minimum 66%.			Gluten,Lait,Fruits à coque	en:gluten,en:milk,en:nuts	20 g	20		1	en:e322,en:e322i	0			0			d	4	Sugary snacks	Chocolate products	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:dark-chocolates	https://static.openfoodfacts.org/images/products/542/500/834/0913/front_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0913/front_fr.8.200.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0913/front_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0913/front_fr.8.200.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0913/ingredients_fr.10.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0913/ingredients_fr.10.200.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0913/nutrition_fr.12.400.jpg	https://static.openfoodfacts.org/images/products/542/500/834/0913/nutrition_fr.12.200.jpg	2068		32.3	20.2																																			37.3	32									21.2	4.9				0.04064	0.016																							0.012	0.104																66				18	18							
